Timestamp,How many hours of sleep do you think you need a day?,How many times a week do you fall asleep in class (give an estimate),Do you feel like you can concentrate in class?,Do you have a part time job ( or jobs of any kind including internships ),"Do you take energy supplements (eg. Coffee, energy drinks)? If so what type? (if multiple apply, pick your most common form of energy supplement)","If possible, please give an estimate on the amount of caffeine in one cup/ can of your energy supplement. (please specify measurement)",How many cups/ cans of energy supplements do you drink a day during the 1st term,How many hours of sleep do you get during the 1st term?,Do you normally start on assignments during the 1st term?,What is a usual time that you go to sleep during the 1st term?,How many cups/ cans of energy supplements do you drink a day during the Mid Semester break?,How many hours of sleep do you get during the Mid Semester break?,Do you normally work on assignments during the Mid Semester break?,Do you usually try to find work during the mid semester break?,What is a usual time that you go to sleep during the Mid Semester break?,How many cups/ cans of energy supplements do you drink a day during the 2nd term?,How many hours of sleep do you get during the 2nd term?,Do you normally work on assignments during the 2nd term?,What is a usual time that you go to sleep during the 2nd term?,How many cups/ cans of energy supplements do you drink a day during the end semester break?,How many hours of sleep do you get during the end semester break?,Do you try to find work during the end semester break?,What is a usual time that you go to sleep during the end semester break?,"Did you know that according to the CDC, for people aged 13 - 18 you are recommended to sleep 8-10 hours a night. And for those 19 and above, you are recommended to sleep for 7-9 hours a night?"
2023/01/05 2:22:05 PM GMT+8,5,0,No,No,Coffee,80mg,1,6,As many assignments as there are out (as soon as they are announced),0:50,1,8,Yes,Maybe,2:00,0,4,"Yes, rushing assignments (last minute rush)",1:50,0,9,Yes,2:00,Yes
2023/01/05 2:22:28 PM GMT+8,10,3,Sometimes,No,No (do not take energy supplements),0mg,0,6,No,12:30,0,10,Yes,Maybe,12:00,0,6,"Yes, rushing assignments (last minute rush)",1:00,0,10,No,12:30,Yes
2023/01/05 2:22:45 PM GMT+8,6,10,Sometimes,No,Tea,20mg,2,4,No,3:00,3,4,Yes,No,5:00,4,3,"Yes, rushing assignments (last minute rush)",3:00,4,3,No,4:00,Yes
2023/01/05 2:23:11 PM GMT+8,8,0,Yes,No,Coffee,80mg,2,5,As many assignments as there are out (as soon as they are announced),4:00,1,8,Yes,No,9:00,2,5,"Yes, touching up on assignments",4:00,1,10,No,9:00,Yes
2023/01/05 2:23:26 PM GMT+8,8,0,Sometimes,No,Just random drinks,0mg,1,7,As many assignments as there are out (as soon as they are announced),23:00,1,10,Yes,No,23:00,1,6,"Yes, touching up on assignments",0:00,1,8,No,1:00,Yes
2023/01/05 2:23:56 PM GMT+8,6,0,Yes,No,No (do not take energy supplements),0mg,1,7,No,0:00,3,4,Yes,No,2:00,1,6,No,0:00,5,6,No,2:00,No
2023/01/05 2:32:11 PM GMT+8,1,7,No,Yes,Coffee,80mg,2,5,No,3:00,0,6,Yes,Already have work,4:00,1,6,"Yes, rushing assignments (last minute rush)",3:00,2,3,Already have work,3:30,No
2023/01/05 2:42:14 PM GMT+8,8,0,Yes,No,No (do not take energy supplements),0mg,0,7,As many assignments as there are out (as soon as they are announced),11:00,0,7,Yes,No,12:00,0,7,"Yes, touching up on assignments",11:00,0,7,Yes,12:00,Yes
2023/01/05 2:53:04 PM GMT+8,8,0,Yes,Yes,No (do not take energy supplements),0mg,0,8,As many assignments as there are out (as soon as they are announced),10:00,0,8,No,Already have work,9:00,0,8,No,10:00,0,8,Already have work,10:00,Yes
2023/01/05 3:01:34 PM GMT+8,7,0,Sometimes,Yes,No (do not take energy supplements),0mg,0,6,No,2:00,0,10,No,Already have work,2:00,0,6,"Yes, rushing assignments (last minute rush)",3:00,0,10,Already have work,1:00,Yes
2023/01/05 3:12:17 PM GMT+8,8,0,Sometimes,No,Coffee,80mg,1,8,No,23:00,1,8,No,No,1:00,1,6,"Yes, rushing assignments (last minute rush)",1:00,1,8,No,1:00,Yes
2023/01/05 3:19:16 PM GMT+8,7,3,No,No,Tea,22mg,0,5,No,3:00,0,4,No,No,10:00,1,3,"Yes, rushing assignments (last minute rush)",4:00,0,4,No,10:00,Yes
2023/01/05 3:23:05 PM GMT+8,8,4,Sometimes,No,No (do not take energy supplements),0mg,0,5,No,1:00,0,9,No,Maybe,3:00,0,5,"Yes, touching up on assignments",2:00,0,9,No,3:00,No
2023/01/05 9:35:38 PM GMT+8,8,0,Yes,No,No (do not take energy supplements),0mg,0,7,As many assignments as there are out (as soon as they are announced),23:30,0,8,Yes,Maybe,1:00,0,7,"Yes, touching up on assignments",0:00,0,7,No,1:00,No
2023/01/05 9:35:45 PM GMT+8,8,3,Sometimes,No,Coffee,100mg,5,4,As many assignments as there are out (as soon as they are announced),12:00,0,9,Yes,No,3:00,8,3,"Yes, rushing assignments (last minute rush)",3:00,0,10,No,3:00,No
2023/01/05 9:36:37 PM GMT+8,9,0,Sometimes,No,Coffee,80mg,1,6,As many assignments as there are out (as soon as they are announced),1:00,0,10,Yes,No,3:00,1,6,"Yes, touching up on assignments",1:00,0,9,No,3:00,No
2023/01/05 9:42:54 PM GMT+8,8,2,No,No,Coffee,80mg,1,6,As many assignments as there are out (as soon as they are announced),1:00,0,10,Yes,No,0:00,1,5,"Yes, rushing assignments (last minute rush)",2:00,0,10,No,0:00,Yes
2023/01/05 9:44:33 PM GMT+8,6,1,Yes,No,No (do not take energy supplements),2mg,0,6,No,1:00,0,10,No,No,23:00,0,6,"Yes, touching up on assignments",1:00,0,9,Yes,0:00,No
2023/01/05 9:44:47 PM GMT+8,7,1,Sometimes,No,No (do not take energy supplements),0mg,0,6,No,0:00,0,9,No,Maybe,2:00,0,7,"Yes, rushing assignments (last minute rush)",0:00,0,7,No,5:00,Yes
2023/01/05 9:52:07 PM GMT+8,6,1,Sometimes,No,No (do not take energy supplements),0mg,0,6,No,0:00,0,8,No,Maybe,3:00,0,7,"Yes, rushing assignments (last minute rush)",0:00,0,6,No,4:00,Yes
2023/01/05 9:55:47 PM GMT+8,8,1,Sometimes,No,"Energy drinks (eg. Redbull, Monster)",80mg,0,7,As many assignments as there are out (as soon as they are announced),1:00,0,8,No,Maybe,3:00,0,7,"Yes, touching up on assignments",1:00,0,7,Yes,2:00,Yes
2023/01/05 10:33:02 PM GMT+8,6,0,Yes,No,No (do not take energy supplements),0mg,0,6,No,2:00,0,9,No,Maybe,2:30,0,6,"Yes, touching up on assignments",2:00,0,8,Yes,2:00,No
2023/01/05 10:50:05 PM GMT+8,8,0,Sometimes,No,Tea,30mg,4,5,As many assignments as there are out (as soon as they are announced),2:00,2,7,Yes,No,3:00,5,5,"Yes, rushing assignments (last minute rush)",2:00,2,10,No,4:00,Yes
2023/01/05 10:52:10 PM GMT+8,8,0,No,No,Tea,22mg,1,4,As many assignments as there are out (as soon as they are announced),3:00,0,3,Yes,No,3:30,1,4,"Yes, touching up on assignments",3:30,0,3,Yes,3:30,Yes
2023/01/05 11:08:50 PM GMT+8,8,3,Sometimes,No,Coffee,80mg,1,4,No,3:00,0,10,No,No,9:00,1,8,"Yes, touching up on assignments",12:00,0,10,No,6:00,Yes
2023/01/05 11:54:33 PM GMT+8,7,0,Yes,Yes,If i feel like drinking,80mg,0,6,No,12:30,0,9,No,No,3:00,0,1,"Yes, touching up on assignments",1:00,0,9,No,3:00,Yes
2023/01/06 1:30:39 AM GMT+8,8,2,Sometimes,No,Tea,11mg,1,5,As many assignments as there are out (as soon as they are announced),2:00,0,10,Yes,Maybe,2:00,1,4,"Yes, rushing assignments (last minute rush)",2:30,0,6,No,2:30,No
2023/01/06 10:19:50 AM GMT+8,8,5,Sometimes,Yes,No (do not take energy supplements),0mg,0,6,As many assignments as there are out (as soon as they are announced),1:00,0,9,No,Already have work,12:00,0,6,"Yes, rushing assignments (last minute rush)",1:30,0,8,Already have work,3:00,Yes
2023/01/06 10:41:16 AM GMT+8,6,-1,Sometimes,No,No (do not take energy supplements),0mg,0,7,As many assignments as there are out (as soon as they are announced),1:00,0,10,Yes,No,2:00,0,6,"Yes, touching up on assignments",1:00,0,10,No,3:00,No
2023/01/07 1:11:03 PM GMT+8,8,2,Sometimes,No,Tea,20mg,2,6,No,12:00,1,9,Yes,Maybe,2:00,1,6,"Yes, touching up on assignments",12:00,0,8,Yes,12:00,No
2023/01/08 11:41:01 PM GMT+8,5,0,Yes,Yes,No (do not take energy supplements),0mg,0,4,As many assignments as there are out (as soon as they are announced),1:00,0,4,Yes,Already have work,1:00,0,5,"Yes, rushing assignments (last minute rush)",2:00,0,4,Already have work,2:00,Yes
2023/01/30 3:37:11 PM GMT+8,10,3,No,No,"Energy drinks (eg. Redbull, Monster)",80mg,3,5,No,3:00,3,4,Yes,Maybe,3:00,3,4,"Yes, rushing assignments (last minute rush)",3:00,1,5,Yes,3:00,No
